"","tweet","created","number"
"1","negativo",2018-05-31,21
"2","negativo",2018-06-01,11
"3","negativo",2018-06-02,3
"4","negativo",2018-06-03,2
"5","negativo",2018-06-04,1
"6","negativo",2018-06-05,9
"7","negativo",2018-06-06,4
"8","negativo",2018-06-07,3
"9","negativo",2018-06-08,1
"10","negativo",2018-06-09,1
"11","negativo",2018-06-12,1
"12","neutro",2018-05-31,2
"13","neutro",2018-06-01,5
"14","neutro",2018-06-02,4
"15","neutro",2018-06-05,1
"16","neutro",2018-06-09,1
"17","neutro",2018-06-10,1
"18","positivo",2018-05-31,2
"19","positivo",2018-06-01,4
"20","positivo",2018-06-03,1
"21","positivo",2018-06-05,2
"22","positivo",2018-06-06,2
